# SignalP-5.0	Organism: Eukarya	Timestamp: 20230728094043
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
ENSDART00000115243	SP(Sec/SPI)	0.990012	0.009988	CS pos: 18-19. VDG-RI. Pr: 0.9143
ENSDART00000115307	OTHER	0.000762	0.999238	
ENSDART00000116114	SP(Sec/SPI)	0.956328	0.043672	CS pos: 21-22. VMS-QD. Pr: 0.6924
ENSDART00000121598	OTHER	0.001608	0.998392	
ENSDART00000121714	OTHER	0.016047	0.983953	
ENSDART00000121813	OTHER	0.003542	0.996458	
ENSDART00000121984	OTHER	0.002447	0.997553	
ENSDART00000122170	OTHER	0.000786	0.999214	
ENSDART00000122271	SP(Sec/SPI)	0.932925	0.067075	CS pos: 22-23. VAG-ST. Pr: 0.7928
ENSDART00000122272	OTHER	0.000735	0.999265	
ENSDART00000122543	SP(Sec/SPI)	0.915729	0.084271	CS pos: 31-32. VLC-QT. Pr: 0.7327
ENSDART00000122628	OTHER	0.000833	0.999167	
ENSDART00000122709	OTHER	0.001109	0.998891	
ENSDART00000122740	OTHER	0.004542	0.995458	
ENSDART00000122935	OTHER	0.001396	0.998604	
ENSDART00000122945	OTHER	0.000633	0.999367	
ENSDART00000123086	OTHER	0.003395	0.996605	
ENSDART00000123096	OTHER	0.001414	0.998586	
ENSDART00000123139	OTHER	0.001490	0.998510	
ENSDART00000123278	OTHER	0.000934	0.999066	
ENSDART00000123360	SP(Sec/SPI)	0.977536	0.022464	CS pos: 23-24. ADA-SP. Pr: 0.9385
ENSDART00000123369	OTHER	0.001725	0.998275	
ENSDART00000123496	OTHER	0.002027	0.997973	
ENSDART00000123562	OTHER	0.000956	0.999044	
ENSDART00000123563	OTHER	0.000763	0.999237	
ENSDART00000123588	OTHER	0.000774	0.999226	
ENSDART00000123608	OTHER	0.005113	0.994887	
ENSDART00000123809	OTHER	0.043217	0.956783	
ENSDART00000124060	OTHER	0.001844	0.998156	
ENSDART00000124119	OTHER	0.007317	0.992683	
ENSDART00000124336	OTHER	0.001090	0.998910	
ENSDART00000124445	OTHER	0.002375	0.997625	
ENSDART00000124470	OTHER	0.003041	0.996959	
ENSDART00000124584	OTHER	0.000582	0.999418	
ENSDART00000124704	SP(Sec/SPI)	0.995716	0.004284	CS pos: 17-18. AKA-QL. Pr: 0.9096
ENSDART00000125022	OTHER	0.001064	0.998936	
ENSDART00000125345	OTHER	0.003811	0.996189	
ENSDART00000125423	OTHER	0.001206	0.998794	
ENSDART00000125459	OTHER	0.001848	0.998152	
ENSDART00000125472	OTHER	0.077535	0.922465	
ENSDART00000125521	SP(Sec/SPI)	0.969673	0.030327	CS pos: 24-25. ALG-QV. Pr: 0.7295
ENSDART00000125579	OTHER	0.001069	0.998931	
ENSDART00000125632	SP(Sec/SPI)	0.986894	0.013106	CS pos: 18-19. VNS-AS. Pr: 0.8825
ENSDART00000126021	OTHER	0.000520	0.999480	
ENSDART00000126766	SP(Sec/SPI)	0.971227	0.028773	CS pos: 14-15. CTG-TE. Pr: 0.4618
ENSDART00000127136	OTHER	0.118701	0.881299	
ENSDART00000127330	OTHER	0.004689	0.995311	
ENSDART00000127365	OTHER	0.001682	0.998318	
ENSDART00000127397	OTHER	0.001099	0.998901	
ENSDART00000127755	OTHER	0.001884	0.998116	
ENSDART00000127834	OTHER	0.001122	0.998878	
ENSDART00000127953	OTHER	0.019919	0.980081	
ENSDART00000128034	OTHER	0.000733	0.999267	
ENSDART00000128139	OTHER	0.000718	0.999282	
ENSDART00000128242	OTHER	0.000680	0.999320	
ENSDART00000128292	SP(Sec/SPI)	0.986356	0.013644	CS pos: 20-21. MSA-LE. Pr: 0.4356
ENSDART00000128308	OTHER	0.000966	0.999034	
ENSDART00000128551	OTHER	0.001431	0.998569	
ENSDART00000128675	SP(Sec/SPI)	0.997535	0.002465	CS pos: 19-20. SSA-FT. Pr: 0.3981
ENSDART00000128730	OTHER	0.000276	0.999724	
ENSDART00000128783	OTHER	0.000838	0.999162	
ENSDART00000128820	SP(Sec/SPI)	0.999107	0.000893	CS pos: 19-20. SLG-NK. Pr: 0.9245
ENSDART00000128829	OTHER	0.000875	0.999125	
ENSDART00000128985	SP(Sec/SPI)	0.914350	0.085650	CS pos: 44-45. CLA-NP. Pr: 0.5370
ENSDART00000129009	OTHER	0.000556	0.999444	
ENSDART00000129091	OTHER	0.204628	0.795372	
ENSDART00000129211	OTHER	0.001237	0.998763	
ENSDART00000129240	OTHER	0.001206	0.998794	
ENSDART00000129378	SP(Sec/SPI)	0.997415	0.002585	CS pos: 18-19. CHG-NT. Pr: 0.9031
ENSDART00000129531	OTHER	0.000322	0.999678	
ENSDART00000129576	OTHER	0.010012	0.989988	
ENSDART00000129593	OTHER	0.000428	0.999572	
ENSDART00000129747	SP(Sec/SPI)	0.598140	0.401860	CS pos: 26-27. GGC-KQ. Pr: 0.3873
ENSDART00000129749	OTHER	0.001527	0.998473	
ENSDART00000129750	OTHER	0.000605	0.999395	
ENSDART00000129961	OTHER	0.009316	0.990684	
ENSDART00000129983	OTHER	0.005301	0.994699	
ENSDART00000130059	OTHER	0.002859	0.997141	
ENSDART00000130072	OTHER	0.004418	0.995582	
ENSDART00000130104	OTHER	0.000653	0.999347	
ENSDART00000130206	OTHER	0.003784	0.996216	
ENSDART00000130353	OTHER	0.134510	0.865490	
ENSDART00000130442	SP(Sec/SPI)	0.858002	0.141998	CS pos: 22-23. VSG-FQ. Pr: 0.5195
ENSDART00000130581	OTHER	0.175660	0.824340	
ENSDART00000130632	OTHER	0.000710	0.999290	
ENSDART00000130876	OTHER	0.002457	0.997543	
ENSDART00000130877	OTHER	0.018993	0.981007	
ENSDART00000130911	OTHER	0.000190	0.999810	
ENSDART00000131113	OTHER	0.002757	0.997243	
ENSDART00000131204	OTHER	0.153355	0.846645	
ENSDART00000131214	OTHER	0.002879	0.997121	
ENSDART00000131274	OTHER	0.000320	0.999680	
ENSDART00000131279	OTHER	0.000856	0.999144	
ENSDART00000131288	OTHER	0.000344	0.999656	
ENSDART00000131289	OTHER	0.000973	0.999027	
ENSDART00000131295	OTHER	0.003072	0.996928	
ENSDART00000131300	OTHER	0.002138	0.997862	
ENSDART00000131315	OTHER	0.004528	0.995472	
ENSDART00000131426	OTHER	0.023510	0.976490	
ENSDART00000131431	OTHER	0.004224	0.995776	
ENSDART00000131479	OTHER	0.001373	0.998627	
ENSDART00000131506	SP(Sec/SPI)	0.994358	0.005642	CS pos: 19-20. VNA-IA. Pr: 0.8567
ENSDART00000131558	OTHER	0.411387	0.588613	
ENSDART00000131583	OTHER	0.000450	0.999550	
ENSDART00000131611	OTHER	0.000831	0.999169	
ENSDART00000131631	OTHER	0.002183	0.997817	
ENSDART00000131774	OTHER	0.001064	0.998936	
ENSDART00000131876	OTHER	0.000822	0.999178	
ENSDART00000131888	OTHER	0.002563	0.997437	
ENSDART00000131910	OTHER	0.000758	0.999242	
ENSDART00000131963	OTHER	0.000302	0.999698	
ENSDART00000131974	OTHER	0.001394	0.998606	
ENSDART00000131977	OTHER	0.001137	0.998863	
ENSDART00000132009	OTHER	0.001989	0.998011	
ENSDART00000132086	OTHER	0.001740	0.998260	
ENSDART00000132093	OTHER	0.010495	0.989505	
ENSDART00000132097	OTHER	0.001569	0.998431	
ENSDART00000132217	OTHER	0.063590	0.936410	
ENSDART00000132235	OTHER	0.002732	0.997268	
ENSDART00000132243	OTHER	0.000333	0.999667	
ENSDART00000132354	OTHER	0.000684	0.999316	
ENSDART00000132437	OTHER	0.000265	0.999735	
ENSDART00000132465	OTHER	0.006958	0.993042	
ENSDART00000132467	OTHER	0.002131	0.997869	
ENSDART00000132584	OTHER	0.000838	0.999162	
ENSDART00000132606	OTHER	0.067530	0.932470	
ENSDART00000132626	OTHER	0.052894	0.947106	
ENSDART00000132660	OTHER	0.001088	0.998912	
ENSDART00000132737	OTHER	0.023631	0.976369	
ENSDART00000132798	OTHER	0.000236	0.999764	
ENSDART00000132801	OTHER	0.070995	0.929005	
ENSDART00000132833	OTHER	0.075202	0.924798	
ENSDART00000132845	OTHER	0.003568	0.996432	
ENSDART00000132893	OTHER	0.069330	0.930670	
ENSDART00000132950	OTHER	0.000854	0.999146	
ENSDART00000132953	OTHER	0.000589	0.999411	
ENSDART00000133004	OTHER	0.050059	0.949941	
ENSDART00000133099	OTHER	0.002777	0.997223	
ENSDART00000133168	OTHER	0.000946	0.999054	
ENSDART00000133171	OTHER	0.000838	0.999162	
ENSDART00000133189	OTHER	0.000773	0.999227	
ENSDART00000133223	OTHER	0.001022	0.998978	
ENSDART00000133302	OTHER	0.008968	0.991032	
ENSDART00000133440	OTHER	0.010341	0.989659	
ENSDART00000133443	OTHER	0.001200	0.998800	
ENSDART00000133487	OTHER	0.003784	0.996216	
ENSDART00000133547	OTHER	0.000889	0.999111	
ENSDART00000133676	OTHER	0.015505	0.984495	
ENSDART00000133695	OTHER	0.001328	0.998672	
ENSDART00000133709	OTHER	0.016338	0.983662	
ENSDART00000133762	OTHER	0.016617	0.983383	
ENSDART00000133804	OTHER	0.002131	0.997869	
ENSDART00000133844	OTHER	0.018012	0.981988	
ENSDART00000133848	OTHER	0.010790	0.989210	
ENSDART00000133906	OTHER	0.000476	0.999524	
ENSDART00000133927	OTHER	0.000898	0.999102	
ENSDART00000133932	OTHER	0.002486	0.997514	
ENSDART00000134035	OTHER	0.002824	0.997176	
ENSDART00000134125	OTHER	0.009179	0.990821	
ENSDART00000134295	OTHER	0.003915	0.996085	
ENSDART00000134348	OTHER	0.000398	0.999602	
ENSDART00000134383	OTHER	0.000530	0.999470	
ENSDART00000134470	OTHER	0.032436	0.967564	
ENSDART00000134480	OTHER	0.001241	0.998759	
ENSDART00000134597	OTHER	0.000962	0.999038	
ENSDART00000134701	OTHER	0.005307	0.994693	
ENSDART00000134752	OTHER	0.000335	0.999665	
ENSDART00000134776	OTHER	0.001431	0.998569	
ENSDART00000134812	OTHER	0.000548	0.999452	
ENSDART00000134819	OTHER	0.002915	0.997085	
ENSDART00000134849	OTHER	0.001316	0.998684	
ENSDART00000134860	OTHER	0.002118	0.997882	
ENSDART00000134873	OTHER	0.206999	0.793001	
ENSDART00000134979	OTHER	0.000179	0.999821	
ENSDART00000134989	OTHER	0.001473	0.998527	
ENSDART00000135063	OTHER	0.014401	0.985599	
ENSDART00000135112	OTHER	0.003742	0.996258	
ENSDART00000135127	OTHER	0.002792	0.997208	
ENSDART00000135184	OTHER	0.001273	0.998727	
ENSDART00000135212	OTHER	0.000232	0.999768	
ENSDART00000135235	SP(Sec/SPI)	0.792806	0.207194	CS pos: 19-20. CRC-LI. Pr: 0.6016
ENSDART00000135237	OTHER	0.004148	0.995852	
ENSDART00000135249	OTHER	0.000843	0.999157	
ENSDART00000135274	OTHER	0.000878	0.999122	
ENSDART00000135379	OTHER	0.011261	0.988739	
ENSDART00000135394	OTHER	0.000910	0.999090	
ENSDART00000135443	OTHER	0.001559	0.998441	
ENSDART00000135591	OTHER	0.000635	0.999365	
ENSDART00000135616	OTHER	0.000594	0.999406	
ENSDART00000135731	OTHER	0.000197	0.999803	
ENSDART00000135733	SP(Sec/SPI)	0.969673	0.030327	CS pos: 24-25. ALG-QV. Pr: 0.7295
ENSDART00000135738	OTHER	0.000536	0.999464	
ENSDART00000135770	OTHER	0.001849	0.998151	
ENSDART00000136160	OTHER	0.002064	0.997936	
ENSDART00000136233	OTHER	0.000939	0.999061	
ENSDART00000136234	OTHER	0.001408	0.998592	
ENSDART00000136255	OTHER	0.001285	0.998715	
ENSDART00000136299	OTHER	0.009989	0.990011	
ENSDART00000136329	OTHER	0.003010	0.996990	
ENSDART00000136463	OTHER	0.003784	0.996216	
ENSDART00000136480	OTHER	0.003015	0.996985	
ENSDART00000136688	OTHER	0.015042	0.984958	
ENSDART00000136798	OTHER	0.009570	0.990430	
ENSDART00000136805	OTHER	0.001494	0.998506	
ENSDART00000136987	SP(Sec/SPI)	0.834500	0.165500	CS pos: 23-24. GGG-TS. Pr: 0.1779
ENSDART00000137019	OTHER	0.000190	0.999810	
ENSDART00000137025	SP(Sec/SPI)	0.987067	0.012933	CS pos: 32-33. CSA-WP. Pr: 0.9342
ENSDART00000137029	OTHER	0.000627	0.999373	
ENSDART00000137088	OTHER	0.136178	0.863822	
ENSDART00000137175	OTHER	0.012453	0.987547	
ENSDART00000137214	OTHER	0.082150	0.917850	
ENSDART00000137254	OTHER	0.005632	0.994368	
ENSDART00000137285	OTHER	0.006463	0.993537	
ENSDART00000137424	SP(Sec/SPI)	0.925334	0.074666	CS pos: 21-22. AWA-FS. Pr: 0.7375
ENSDART00000137497	OTHER	0.000975	0.999025	
ENSDART00000137600	OTHER	0.039759	0.960241	
ENSDART00000137642	OTHER	0.004371	0.995629	
ENSDART00000137699	OTHER	0.000354	0.999646	
ENSDART00000137740	OTHER	0.003855	0.996145	
ENSDART00000137798	OTHER	0.010717	0.989283	
ENSDART00000137900	SP(Sec/SPI)	0.989712	0.010288	CS pos: 20-21. SQA-AE. Pr: 0.9308
ENSDART00000137907	OTHER	0.035769	0.964231	
ENSDART00000137915	OTHER	0.001062	0.998938	
ENSDART00000137920	OTHER	0.000421	0.999579	
ENSDART00000137957	OTHER	0.004985	0.995015	
ENSDART00000138020	SP(Sec/SPI)	0.764476	0.235524	CS pos: 22-23. VLA-DT. Pr: 0.7149
ENSDART00000138084	OTHER	0.000276	0.999724	
ENSDART00000138166	OTHER	0.016748	0.983252	
ENSDART00000138350	OTHER	0.000979	0.999021	
ENSDART00000138433	SP(Sec/SPI)	0.999630	0.000370	CS pos: 24-25. SRA-DE. Pr: 0.9250
ENSDART00000138535	OTHER	0.000489	0.999511	
ENSDART00000138554	OTHER	0.002044	0.997956	
ENSDART00000138567	OTHER	0.003568	0.996432	
ENSDART00000138654	OTHER	0.000421	0.999579	
ENSDART00000138667	OTHER	0.012853	0.987147	
ENSDART00000138852	OTHER	0.000723	0.999277	
ENSDART00000138897	OTHER	0.000287	0.999713	
ENSDART00000138972	OTHER	0.000920	0.999080	
ENSDART00000138989	SP(Sec/SPI)	0.904229	0.095771	CS pos: 22-23. SLA-PH. Pr: 0.4494
ENSDART00000139042	OTHER	0.001085	0.998915	
ENSDART00000139080	OTHER	0.002352	0.997648	
ENSDART00000139268	OTHER	0.024380	0.975620	
ENSDART00000139355	OTHER	0.001059	0.998941	
ENSDART00000139378	OTHER	0.000712	0.999288	
ENSDART00000139452	OTHER	0.100364	0.899636	
ENSDART00000139542	OTHER	0.000179	0.999821	
ENSDART00000139584	OTHER	0.017782	0.982218	
ENSDART00000139603	OTHER	0.026490	0.973510	
ENSDART00000139657	OTHER	0.001447	0.998553	
ENSDART00000139661	OTHER	0.011564	0.988436	
ENSDART00000139686	OTHER	0.001842	0.998158	
ENSDART00000139689	OTHER	0.000722	0.999278	
ENSDART00000139713	OTHER	0.002459	0.997541	
ENSDART00000139839	OTHER	0.000630	0.999370	
ENSDART00000139868	OTHER	0.083489	0.916511	
ENSDART00000139937	OTHER	0.022577	0.977423	
ENSDART00000139963	OTHER	0.000305	0.999695	
ENSDART00000140046	OTHER	0.005079	0.994921	
ENSDART00000140089	OTHER	0.000680	0.999320	
ENSDART00000140187	OTHER	0.000807	0.999193	
ENSDART00000140220	OTHER	0.000763	0.999237	
ENSDART00000140327	OTHER	0.006936	0.993064	
ENSDART00000140347	OTHER	0.000869	0.999131	
ENSDART00000140350	SP(Sec/SPI)	0.994918	0.005082	CS pos: 17-18. CES-AR. Pr: 0.6135
ENSDART00000140352	OTHER	0.000354	0.999646	
ENSDART00000140379	SP(Sec/SPI)	0.831646	0.168354	CS pos: 21-22. CFG-FT. Pr: 0.4637
ENSDART00000140453	OTHER	0.019818	0.980182	
ENSDART00000140464	OTHER	0.018860	0.981140	
ENSDART00000140469	OTHER	0.001083	0.998917	
ENSDART00000140485	OTHER	0.000937	0.999063	
ENSDART00000140553	OTHER	0.005717	0.994283	
ENSDART00000140726	OTHER	0.006850	0.993150	
ENSDART00000140775	OTHER	0.004148	0.995852	
ENSDART00000140859	OTHER	0.002869	0.997131	
ENSDART00000141015	OTHER	0.044790	0.955210	
ENSDART00000141033	OTHER	0.000489	0.999511	
ENSDART00000141050	OTHER	0.004467	0.995533	
ENSDART00000141085	OTHER	0.468673	0.531327	
ENSDART00000141099	OTHER	0.000910	0.999090	
ENSDART00000141101	OTHER	0.000892	0.999108	
ENSDART00000141105	OTHER	0.409480	0.590520	
ENSDART00000141115	OTHER	0.004051	0.995949	
ENSDART00000141130	OTHER	0.021308	0.978692	
ENSDART00000141160	OTHER	0.065454	0.934546	
ENSDART00000141182	OTHER	0.008206	0.991794	
ENSDART00000141200	OTHER	0.001820	0.998180	
ENSDART00000141332	OTHER	0.015749	0.984251	
ENSDART00000141386	OTHER	0.003256	0.996744	
ENSDART00000141404	OTHER	0.000989	0.999011	
ENSDART00000141441	OTHER	0.005169	0.994831	
ENSDART00000141486	OTHER	0.000774	0.999226	
ENSDART00000141487	OTHER	0.001460	0.998540	
ENSDART00000141563	OTHER	0.231447	0.768553	
ENSDART00000141596	OTHER	0.024734	0.975266	
ENSDART00000141634	SP(Sec/SPI)	0.951564	0.048436	CS pos: 23-24. VLP-DS. Pr: 0.8299
ENSDART00000141650	OTHER	0.005828	0.994172	
ENSDART00000141651	OTHER	0.002259	0.997741	
ENSDART00000141682	OTHER	0.000757	0.999243	
ENSDART00000141716	OTHER	0.002011	0.997989	
ENSDART00000141800	OTHER	0.002970	0.997030	
ENSDART00000141823	OTHER	0.000708	0.999292	
ENSDART00000141832	OTHER	0.000733	0.999267	
ENSDART00000142028	OTHER	0.000290	0.999710	
ENSDART00000142076	OTHER	0.001140	0.998860	
ENSDART00000142078	OTHER	0.008519	0.991481	
ENSDART00000142128	OTHER	0.179600	0.820400	
ENSDART00000142215	OTHER	0.000396	0.999604	
ENSDART00000142272	OTHER	0.004729	0.995271	
ENSDART00000142297	OTHER	0.001901	0.998099	
ENSDART00000142337	OTHER	0.000558	0.999442	
ENSDART00000142390	OTHER	0.002539	0.997461	
ENSDART00000142463	OTHER	0.000674	0.999326	
ENSDART00000142465	OTHER	0.001052	0.998948	
ENSDART00000142478	OTHER	0.001543	0.998457	
ENSDART00000142489	OTHER	0.000727	0.999273	
ENSDART00000142507	OTHER	0.003128	0.996872	
ENSDART00000142527	OTHER	0.000751	0.999249	
ENSDART00000142533	OTHER	0.005706	0.994294	
ENSDART00000142568	OTHER	0.000788	0.999212	
ENSDART00000142598	SP(Sec/SPI)	0.960030	0.039970	CS pos: 27-28. ILA-FH. Pr: 0.7878
ENSDART00000142601	OTHER	0.001505	0.998495	
ENSDART00000142625	SP(Sec/SPI)	0.985174	0.014826	CS pos: 22-23. CRC-SD. Pr: 0.8674
ENSDART00000142636	OTHER	0.003136	0.996864	
ENSDART00000142673	OTHER	0.001822	0.998178	
ENSDART00000142706	OTHER	0.051586	0.948414	
ENSDART00000142794	OTHER	0.000563	0.999437	
ENSDART00000142815	OTHER	0.000907	0.999093	
ENSDART00000142830	SP(Sec/SPI)	0.831646	0.168354	CS pos: 21-22. CFG-FT. Pr: 0.4637
ENSDART00000142872	OTHER	0.005949	0.994051	
ENSDART00000142878	OTHER	0.001181	0.998819	
ENSDART00000142907	SP(Sec/SPI)	0.890566	0.109434	CS pos: 20-21. TAA-QG. Pr: 0.3410
ENSDART00000143130	OTHER	0.011400	0.988600	
ENSDART00000143152	OTHER	0.000493	0.999507	
ENSDART00000143155	OTHER	0.000471	0.999529	
ENSDART00000143180	OTHER	0.077535	0.922465	
ENSDART00000143283	OTHER	0.001830	0.998170	
ENSDART00000143285	OTHER	0.001605	0.998395	
ENSDART00000143377	OTHER	0.003015	0.996985	
ENSDART00000143435	OTHER	0.006015	0.993985	
ENSDART00000143520	OTHER	0.014867	0.985133	
ENSDART00000143553	OTHER	0.000179	0.999821	
ENSDART00000143557	OTHER	0.000368	0.999632	
ENSDART00000143569	OTHER	0.005694	0.994306	
ENSDART00000143599	OTHER	0.000340	0.999660	
ENSDART00000143721	SP(Sec/SPI)	0.582440	0.417560	CS pos: 16-17. GMG-YL. Pr: 0.2327
ENSDART00000143909	OTHER	0.018091	0.981909	
ENSDART00000143964	OTHER	0.000922	0.999078	
ENSDART00000143989	OTHER	0.003904	0.996096	
ENSDART00000144028	OTHER	0.003005	0.996995	
ENSDART00000144046	OTHER	0.004127	0.995873	
ENSDART00000144052	OTHER	0.001167	0.998833	
ENSDART00000144127	OTHER	0.000873	0.999127	
ENSDART00000144153	OTHER	0.000830	0.999170	
ENSDART00000144188	OTHER	0.001666	0.998334	
ENSDART00000144250	OTHER	0.001340	0.998660	
ENSDART00000144372	SP(Sec/SPI)	0.915951	0.084049	CS pos: 17-18. SNA-SP. Pr: 0.7547
ENSDART00000144401	OTHER	0.000663	0.999337	
ENSDART00000144435	OTHER	0.290691	0.709309	
ENSDART00000144500	OTHER	0.000485	0.999515	
ENSDART00000144510	OTHER	0.000718	0.999282	
ENSDART00000144532	OTHER	0.029181	0.970819	
ENSDART00000144545	OTHER	0.016031	0.983969	
ENSDART00000144579	OTHER	0.001252	0.998748	
ENSDART00000144589	OTHER	0.003283	0.996717	
ENSDART00000144592	OTHER	0.000666	0.999334	
ENSDART00000144601	OTHER	0.008525	0.991475	
ENSDART00000144612	OTHER	0.005002	0.994998	
ENSDART00000144615	OTHER	0.044565	0.955435	
ENSDART00000144634	OTHER	0.001939	0.998061	
ENSDART00000144654	OTHER	0.003459	0.996541	
ENSDART00000144891	SP(Sec/SPI)	0.989847	0.010153	CS pos: 21-22. TNS-KK. Pr: 0.9354
ENSDART00000144912	OTHER	0.007296	0.992704	
ENSDART00000144919	OTHER	0.017220	0.982780	
ENSDART00000145012	OTHER	0.081781	0.918219	
ENSDART00000145095	OTHER	0.001544	0.998456	
ENSDART00000145100	SP(Sec/SPI)	0.956328	0.043672	CS pos: 21-22. VMS-QD. Pr: 0.6924
ENSDART00000145114	OTHER	0.000889	0.999111	
ENSDART00000145126	OTHER	0.000935	0.999065	
ENSDART00000145201	OTHER	0.000311	0.999689	
ENSDART00000145222	OTHER	0.041535	0.958465	
ENSDART00000145230	OTHER	0.003631	0.996369	
ENSDART00000145264	OTHER	0.000797	0.999203	
ENSDART00000145309	OTHER	0.000445	0.999555	
ENSDART00000145356	OTHER	0.000592	0.999408	
ENSDART00000145375	OTHER	0.001058	0.998942	
ENSDART00000145408	OTHER	0.002375	0.997625	
ENSDART00000145436	OTHER	0.112514	0.887486	
ENSDART00000145466	OTHER	0.001280	0.998720	
ENSDART00000145477	OTHER	0.002106	0.997894	
ENSDART00000145523	OTHER	0.004923	0.995077	
ENSDART00000145745	OTHER	0.000221	0.999779	
ENSDART00000145936	OTHER	0.015501	0.984499	
ENSDART00000145959	OTHER	0.000666	0.999334	
ENSDART00000145995	OTHER	0.000996	0.999004	
ENSDART00000146011	OTHER	0.010832	0.989168	
ENSDART00000146015	OTHER	0.000511	0.999489	
ENSDART00000146028	OTHER	0.000833	0.999167	
ENSDART00000146051	OTHER	0.000597	0.999403	
ENSDART00000146138	SP(Sec/SPI)	0.514511	0.485489	CS pos: 22-23. FCT-NP. Pr: 0.1381
ENSDART00000146148	OTHER	0.010631	0.989369	
ENSDART00000146154	OTHER	0.080453	0.919547	
ENSDART00000146241	OTHER	0.001003	0.998997	
ENSDART00000146290	OTHER	0.186229	0.813771	
ENSDART00000146563	OTHER	0.014075	0.985925	
ENSDART00000146697	SP(Sec/SPI)	0.909705	0.090295	CS pos: 37-38. TSA-HG. Pr: 0.5464
ENSDART00000146712	OTHER	0.000610	0.999390	
ENSDART00000146733	SP(Sec/SPI)	0.967537	0.032463	CS pos: 20-21. AFP-CD. Pr: 0.6221
ENSDART00000146776	OTHER	0.005436	0.994564	
ENSDART00000146789	OTHER	0.004923	0.995077	
ENSDART00000146804	SP(Sec/SPI)	0.962202	0.037798	CS pos: 23-24. VFS-GP. Pr: 0.8442
ENSDART00000146839	OTHER	0.000783	0.999217	
ENSDART00000146953	OTHER	0.000891	0.999109	
ENSDART00000147157	OTHER	0.002706	0.997294	
ENSDART00000147284	OTHER	0.000257	0.999743	
ENSDART00000147303	OTHER	0.017786	0.982214	
ENSDART00000147318	OTHER	0.000736	0.999264	
ENSDART00000147409	OTHER	0.002411	0.997589	
ENSDART00000147438	OTHER	0.008776	0.991224	
ENSDART00000147443	OTHER	0.000271	0.999729	
ENSDART00000147619	OTHER	0.000340	0.999660	
ENSDART00000147683	OTHER	0.001437	0.998563	
ENSDART00000147693	OTHER	0.000574	0.999426	
ENSDART00000147699	OTHER	0.001684	0.998316	
ENSDART00000147785	SP(Sec/SPI)	0.689169	0.310831	CS pos: 25-26. PAA-KQ. Pr: 0.2660
ENSDART00000147799	OTHER	0.124151	0.875849	
ENSDART00000147857	OTHER	0.115573	0.884427	
ENSDART00000147902	SP(Sec/SPI)	0.993936	0.006064	CS pos: 25-26. AWS-LN. Pr: 0.8376
ENSDART00000147948	OTHER	0.044127	0.955873	
ENSDART00000147955	OTHER	0.001647	0.998353	
ENSDART00000147998	OTHER	0.003206	0.996794	
ENSDART00000148018	OTHER	0.004072	0.995928	
ENSDART00000148072	OTHER	0.000748	0.999252	
ENSDART00000148097	OTHER	0.005802	0.994198	
ENSDART00000148128	OTHER	0.000979	0.999021	
ENSDART00000148129	OTHER	0.001186	0.998814	
ENSDART00000148270	OTHER	0.000358	0.999642	
ENSDART00000148271	OTHER	0.004965	0.995035	
ENSDART00000148321	OTHER	0.002707	0.997293	
ENSDART00000148333	OTHER	0.000610	0.999390	
ENSDART00000148440	OTHER	0.001647	0.998353	
ENSDART00000148455	OTHER	0.000587	0.999413	
ENSDART00000148495	OTHER	0.001246	0.998754	
ENSDART00000148518	SP(Sec/SPI)	0.996336	0.003664	CS pos: 17-18. ASA-RN. Pr: 0.9247
ENSDART00000148540	OTHER	0.000964	0.999036	
ENSDART00000148543	SP(Sec/SPI)	0.962948	0.037052	CS pos: 27-28. TGG-AE. Pr: 0.6242
ENSDART00000148600	OTHER	0.002300	0.997700	
ENSDART00000148657	OTHER	0.134036	0.865964	
ENSDART00000148660	OTHER	0.000161	0.999839	
ENSDART00000148728	OTHER	0.000288	0.999712	
ENSDART00000148744	OTHER	0.003900	0.996100	
ENSDART00000148767	OTHER	0.000857	0.999143	
ENSDART00000148774	OTHER	0.001099	0.998901	
ENSDART00000148827	OTHER	0.000373	0.999627	
ENSDART00000148872	OTHER	0.001618	0.998382	
ENSDART00000148931	OTHER	0.000373	0.999627	
ENSDART00000148995	OTHER	0.001633	0.998367	
ENSDART00000148998	OTHER	0.001209	0.998791	
ENSDART00000148999	OTHER	0.002405	0.997595	
ENSDART00000149000	OTHER	0.304843	0.695157	
ENSDART00000149017	SP(Sec/SPI)	0.928192	0.071808	CS pos: 20-21. VYC-YR. Pr: 0.8867
ENSDART00000149061	OTHER	0.002181	0.997819	
ENSDART00000149115	OTHER	0.007214	0.992786	
ENSDART00000149142	OTHER	0.000729	0.999271	
ENSDART00000149158	OTHER	0.001199	0.998801	
ENSDART00000149318	OTHER	0.005501	0.994499	
ENSDART00000149394	OTHER	0.030124	0.969876	
ENSDART00000149396	OTHER	0.001505	0.998495	
ENSDART00000149420	OTHER	0.020740	0.979260	
ENSDART00000149477	OTHER	0.048192	0.951808	
ENSDART00000149479	OTHER	0.019853	0.980147	
ENSDART00000149505	OTHER	0.000373	0.999627	
ENSDART00000149517	OTHER	0.005053	0.994947	
ENSDART00000149521	OTHER	0.000543	0.999457	
ENSDART00000149529	OTHER	0.001602	0.998398	
ENSDART00000149706	OTHER	0.025265	0.974735	
ENSDART00000149711	OTHER	0.000168	0.999832	
ENSDART00000149714	OTHER	0.051077	0.948923	
