"","zfin_id_symbol","Mouse.Symbol"
"4366","abracl","Abracl"
"4368","b4galnt3b","B4galnt3"
"4370","csde1","Csde1"
"4371","rps8a","Rps8"
"4373","rps14","Rps14"
"4375","samsn1a","Samsn1"
"4377","rpl9","Rpl9"
"4379","rpl7","Rpl7"
"4381","rpl30","Rpl30"
"4383","slco3a1","Slco3a1"
"4385","rplp1","Rplp1"
"4386","atp2a2b","Atp2a2"
"4389","rpl27a","Rpl27a"
"4390","cnih4","Cnih4"
"4392","napsa","Napsa"
"4394","rnf38","Rnf38"
"4396","l3mbtl2","L3mbtl2"
"4398","abcf2a","Abcf2"
"4401","ahnak","Ahnak"
"4403","irs1","Irs1"
"4407","ptx3a","Ptx3"
"4409","psmc1a","Psmc1"
"4410","btf3","Btf3"
"4412","vmp1","Vmp1"
"4414","serp1","Serp1"
"4416","ggps1","Ggps1"
"4418","sod3b","Sod3"
"4420","rpl38","Rpl38"
"4422","ten1","Ten1"
"4424","rpl23","Rpl23"
"4425","vps29","Vps29"
"4427","znf148","Zfp148"
"4429","mpzl2b","Mpzl2"
"4431","scarf1","Scarf1"
"4433","ncln","Ncln"
"4435","pdia6","Pdia6"
"4437","sgta","Sgta"
"4438","tollip","Tollip"
"4441","sdf2","Sdf2"
"4443","susd6","Susd6"
"4445","ttc8","Ttc8"
"4446","med14","Med14"
"4447","rin3","Rin3"
"4448","rhogb","Rhog"
"4450","ccr6b","Ccr6"
"4451","rrp8","Rrp8"
"4454","si:ch211-160d20.3","2310022A10Rik"
"4456","scyl1","Scyl1"
"4458","plxnb2a","Plxnb2"
"4459","hagh","Hagh"
"4461","eva1ba","Eva1b"
"4463","chek2","Chek2"
"4465","rps12","Rps12"
"4467","sema5a","Sema5a"
"4469","ifitm5","Ifitm5"
"4471","timeless","Timeless"
"4474","pleca","Plec"
"4476","sparc","Sparc"
"4481","scaf4a","Scaf4"
"4483","prkdc","Prkdc"
"4484","tbl2","Tbl2"
"4486","sdc3","Sdc3"
"4489","zdhhc4","Zdhhc4"
"4491","tgm1","Tgm1"
"4493","ndc80","Ndc80"
"4495","emc10","Emc10"
"4497","mbd2","Mbd2"
"4498","anxa5b","Anxa5"
"4500","mbd3a","Mbd3"
"4502","b4galnt2.1","B4galnt2"
"4505","mov10b.1","Mov10"
"4507","dpm2","Dpm2"
"4508","nap1l4a","Nap1l4"
"4511","nol7","Nol7"
"4513","col1a1a","Col1a1"
"4516","Sep-02","Septin2"
"4518","il4i1","Il4i1"
"4519","tsc1a","Tsc1"
"4521","nbr1a","Nbr1"
"4523","cpn1","Cpn1"
"4526","postnb","Postn"
"4528","smg7","Smg7"
"4531","mmp2","Mmp2"
"4533","ier2a","Ier2"
"4536","ddah2","Ddah2"
"4538","cox8a","Cox8a"
"4540","sall3b","Sall3"
"4542","prss23","Prss23"
"4543","tspy","Tspyl1"
"4545","tspy","Tspyl2"
"4547","tuba5","Tuba5-ps"
"4549","chid1","Chid1"
"4551","gars1","Gars"
"4552","synj1","Synj1"
"4553","reep5","Reep5"
"4554","rps3a","Rps3a1"
"4556","sept9a","Septin9"
"4559","klf12a","Klf12"
"4562","aldh6a1","Aldh6a1"
"4564","unc5c","Unc5c"
"4566","limch1b","Limch1"
"4568","pitpnm3","Pitpnm3"
"4570","homezb","Homez"
"4572","sulf1","Sulf1"
"4575","cfp","Cfp"
"4577","cdc42se1","Cdc42se1"
"4579","fgb","Fgb"
"4582","jade3","Jade3"
"4584","lamp1b","Lamp1"
"4587","si:dkey-73n10.1","1700017B05Rik"
"4589","moxd1","Moxd1"
"4591","alox5ap","Alox5ap"
"4593","ajuba","Ajuba"
"4595","rrs1","Rrs1"
"4597","ehd2b","Ehd2"
"4599","bcat1","Bcat1"
"4601","stat6","Stat6"
"4603","arl8ba","Arl8b"
"4605","ubac1","Ubac1"
"4607","dennd6b","Dennd6b"
"4609","smg9","Smg9"
"4611","slc22a7b.2","Slc22a7"
"4613","synrg","Synrg"
"4615","zc3h3","Zc3h3"
"4617","actn4","Actn4"
"4618","nup35","Nup35"
"4619","rnf19a","Rnf19a"
"4621","taok2a","Taok2"
"4623","nrip2","Nrip2"
"4625","plcd1b","Plcd1"
"4627","dmtn","Dmtn"
"4629","lnx1","Lnx1"
"4631","spag1a","Spag1"
"4633","sik1","Sik1"
"4635","stard8","Stard8"
"4637","lztfl1","Lztfl1"
"4641","lnpk","Lnpk"
"4643","bhmt","Bhmt"
"4646","smug1","Smug1"
"4648","snx17","Snx17"
"4650","adkb","Adk"
"4652","nppa","Nppa"
"4653","rgs7bpb","Rgs7bp"
"4655","fgl2a","Fgl2"
"4657","arhgap29a","Arhgap29"
"4659","dcaf7","Dcaf7"
"4661","lyve1b","Lyve1"
"4663","atp6v1ab","Atp6v1a"
"4665","relb","Relb"
"4667","plcg2","Plcg2"
"4669","reps1","Reps1"
"4670","fam49ba","Cyrib"
"4672","rhbg","Rhbg"
"4673","mcm4","Mcm4"
"4675","mmp23ba","Mmp23"
"4677","wdr44","Wdr44"
"4679","eif2b4","Eif2b4"
"4681","znf292b","Zfp292"
"4683","eif1","Eif1"
"4686","lztr1","Lztr1"
"4688","pde4ba","Pde4b"
"4690","etv5a","Etv5"
"4692","mbnl2","Mbnl2"
"4695","lzts2b","Lzts2"
"4697","ik","Ik"
"4699","znf592","Zfp592"
"4701","ogt.1","Ogt"
"4703","sgk2a","Sgk2"
"4705","pikfyve","Pikfyve"
"4706","bsg","Bsg"
"4708","cbr1l","Cbr1"
"4709","ftcd","Ftcd"
"4711","aif1l","Aif1l"
"4712","gsna","Gsn"
"4713","aatf","Aatf"
"4715","slc38a2","Slc38a2"
"4717","usp39","Usp39"
"4719","rap1b","Rap1b"
"4720","pabpc4","Pabpc4"
"4722","smarce1","Smarce1"
"4724","col5a3a","Col5a3"
"4727","kif20bb","Kif20b"
"4729","ddx18","Ddx18"
"4731","slbp","Slbp"
"4734","rtca","Rtca"
"4736","nop14","Nop14"
"4737","rpl7l1","Rpl7l1"
"4738","noxo1a","Noxo1"
"4740","crtac1a","Crtac1"
"4742","yap1","Yap1"
"4747","apobb.1","Apob"
"4750","angptl6","Angptl6"
"4752","thumpd3","Thumpd3"
"4754","tacc2","Tacc2"
"4756","eif5","Eif5"
"4758","rrp36","Rrp36"
"4759","akap12b","Akap12"
"4761","paics","Paics"
"4763","hmcn2","Hmcn2"
"4765","cct5","Cct5"
"4767","amotl2a","Amotl2"
"4769","mki67","Mki67"
"4770","trappc13","Trappc13"
"4772","ap2m1a","Ap2m1"
"4774","col9a2","Col9a2"
"4776","cercam","Cercam"
"4778","abca12","Abca12"
"4779","mbd3b","Mbd3"
"4781","pigq","Pigq"
"4783","mybphb","Mybph"
"4785","rrbp1a","Rrbp1"
"4787","ptbp1b","Ptbp1"
"4789","col9a3","Col9a3"
"4791","hkdc1","Hkdc1"
"4793","ppp1r13ba","Ppp1r13b"
"4794","colec12","Colec12"
"4795","pum3","Pum3"
"4798","tomm22","Tomm22"
"4800","rspo3","Rspo3"
"4805","pmela","Pmel"
"4808","lama5","Lama5"
"4810","esrp2","Esrp2"
"4813","smyd1a","Smyd1"
"4815","abca1b","Abca1"
"4818","depdc1a","Depdc1a"
"4820","ftsj3","Ftsj3"
"4821","kdm7aa","Kdm7a"
"4823","ctsf","Ctsf"
"4824","rgs4","Rgs4"
"4829","psmd11b","Psmd11"
"4831","slc26a10","Slc26a10"
"4833","pdcd4b","Pdcd4"
"4835","jph2","Jph2"
"4837","sp8a","Sp8"
"4839","kat5b","Kat5"
"4840","grhl3","Grhl3"
"4842","zfp36l1a","Zfp36l1"
"4844","mybbp1a","Mybbp1a"
"4845","klhl41b","Klhl41"
"4848","llgl2","Llgl2"
"4850","noc3l","Noc3l"
"4851","sem1","Sem1"
"4853","tbc1d4","Tbc1d4"
"4855","cpox","Cpox"
"4856","ccnjl","Ccnjl"
"4858","col14a1a","Col14a1"
"4861","znf513a","Zfp513"
"4864","lrrfip1a","Lrrfip1"
"4866","lmbr1l","Lmbr1l"
"4870","calr3b","Calr3"
"4872","sipa1l1","Sipa1l1"
"4874","slc39a1","Slc39a1"
"4876","hells","Hells"
"4879","rhpn2","Rhpn2"
"4881","rad21a","Rad21"
"4885","quo","D630003M21Rik"
"4887","sash1a","Sash1"
"4889","dact2","Dact2"
"4891","myh9b","Myh9"
"4893","atpaf1","Atpaf1"
"4894","dph2","Dph2"
"4895","tfdp2","Tfdp2"
"4897","bop1","Bop1"
"4899","srpra","Srpr"
"4901","rps6ka3a","Rps6ka1"
"4903","efemp2b","Efemp2"
"4905","unc119.1","Unc119b"
"4906","usp10","Usp10"
"4908","rreb1a","Rreb1"
"4910","bmper","Bmper"
"4911","echdc2","Echdc2"
"4913","adarb1b","Adarb1"
"4914","skp2","Skp2"
"4916","arl4ab","Arl4a"
"4918","mrpl47","Mrpl47"
"4920","creb3l1","Creb3l1"
"4922","epha2b","Epha2"
"4924","aff3","Aff3"
"4925","ppdpfa","Ppdpf"
"4928","mcamb","Mcam"
"4930","hspbp1","Hspbp1"
"4931","lmo7a","Lmo7"
"4934","thrap3a","Thrap3"
"4936","mars1","Mars1"
"4938","mtss1la","Mtss2"
"4940","bbs7","Bbs7"
"4942","zic2b","Zic2"
"4945","tiam2a","Tiam2"
"4947","selenop","Selenop"
"4953","rapsn","Rapsn"
"4955","tph1a","Tph1"
"4958","cxcl12a","Cxcl12"
"4962","chm","Chm"
"4963","myo6b","Myo6"
"4965","p2rx1","P2rx1"
"4967","p2rx5","P2rx5"
"4968","gli1","Gli1"
"4970","fgfr2","Fgfr2"
"4972","dlst","Dlst"
"4974","prdx2","Prdx2"
"4976","aldh2.2","Aldh2"
"4978","snai2","Snai2"
"4982","selenof","Selenof"
"4984","dio2","Dio2"
"4986","selenon","Selenon"
"4987","ldlrap1a","Ldlrap1"
"4989","etnk1","Etnk1"
"4991","cars1","Cars"
"4995","pik3c2a","Pik3c2a"
"4997","dio1","Dio1"
"4999","mib1","Mib1"
"5003","oxt","Oxt"
"5005","avp","Avp"
"5008","zdhhc8b","Zdhhc8"
"5009","arntl1b","Arntl"
"5013","clockb","Clock"
"5017","npas2","Npas2"
"5018","ktn1","Ktn1"
"5020","bcas2","Bcas2"
"5022","gpx1a","Gpx1"
"5023","gpx4a","Gpx4"
"5024","gpx4b","Gpx4"
"5025","selenom","Selenom"
"5027","selenow1","Selenow"
"5029","selenoh","Selenoh"
"5030","msrb1a","Msrb1"
"5032","krt8","Krt8"
"5035","plcg1","Plcg1"
"5037","kdm5bb","Kdm5b"
"5039","bin1b","Bin1"
"5040","yars1","Yars"
"5042","adka","Adk"
"5044","ppm1g","Ppm1g"
"5045","cntn1a","Cntn1"
"5047","rassf7b","Rassf7"
"5049","zbtb10","Zbtb10"
"5051","ccnb2","Ccnb2"
"5053","slc4a2b","Slc4a2"
"5054","mbpb","Mbp"
"5057","gmnn","Gmnn"
"5059","rrbp1b","Rrbp1"
"5061","golgb1","Golgb1"
"5063","sp5a","Sp5"
"5065","mc1r","Mc1r"
"5070","mc2r","Mc2r"
"5075","mc3r","Mc3r"
"5078","mchr1a","Mchr1"
"5079","mchr1b","Mchr1"
"5080","foxi1","Foxi1"
"5082","otx5","Crx"
"5084","prl","Prl"
"5086","pomca","Pomc"
"5092","tshba","Tshb"
"5096","rab40c","Rab40c"
"5100","pinx1","Pinx1"
"5102","gid8b","Gid8"
"5104","slc16a1b","Slc16a1"
"5106","nrarpa","Nrarp"
"5108","nrarpb","Nrarp"
"5110","nap1l1","Nap1l1"
"5112","col18a1a","Col18a1"
"5115","ypel3","Ypel3"
"5116","clybl","Clybl"
"5118","tg","Tg"
"5120","nrp1a","Nrp1"
"5122","tnnt3b","Tnnt3"
"5123","il13ra2","Il13ra2"
"5125","cdkn1bb","Cdkn1b"
"5126","erlec1","Erlec1"
"5128","xirp2b","Xirp2"
"5130","cnp","Cnp"
"5132","uacab","Uaca"
"5134","mns1","Mns1"
"5135","pdia5","Pdia5"
"5139","fam110a","Fam110a"
"5141","tnnc1a","Tnnc1"
"5142","pbk","Pbk"
"5144","mgaa","Mga"
"5147","smarca4a","Smarca4"
"5149","timp2a","Timp2"
"5152","dusp6","Dusp6"
"5154","ltk","Ltk"
"5155","ier5","Ier5"
"5157","pdzk1ip1","Pdzk1ip1"
"5159","mycbp2","Mycbp2"
"5162","cacna1da","Cacna1d"
"5164","scel","Scel"
"5166","mis18bp1","Mis18bp1"
"5168","heatr5a","Heatr5a"
"5170","hectd1","Hectd1"
"5172","znf385b","Zfp385b"
"5173","ccdc157","Ccdc157"
"5175","sf3a1","Sf3a1"
"5177","pqbp1","Pqbp1"
"5179","gpkow","Gpkow"
"5181","pa2g4a","Pa2g4"
"5183","myh10","Myh10"
"5185","map4k2","Map4k2"
"5187","slc39a13","Slc39a13"
"5189","vat1","Vat1"
"5190","fkbp7","Fkbp7"
"5191","atmin","Atmin"
"5193","itsn1","Itsn1"
"5195","stat1b","Stat1"
"5198","ivd","Ivd"
"5200","stat4","Stat4"
"5203","tnni1a","Tnni1"
"5205","phlda3","Phlda3"
"5208","lad1","Lad1"
"5210","mindy2","Mindy2"
"5212","mdga2a","Mdga2"
"5213","asnsd1","Asnsd1"
"5215","nsfa","Nsf"
"5218","csmd2","Csmd2"
"5220","triob","Trio"
"5222","chsy3","Chsy3"
"5225","g2e3","G2e3"
"5227","coch","Coch"
"5229","ap4s1","Ap4s1"
"5231","strn3","Strn3"
"5233","cenpn","Cenpn"
"5235","cmc2","Cmc2"
"5237","pde6a","Pde6a"
"5239","ppargc1b","Ppargc1b"
"5241","atad1b","Atad1"
"5243","epb41l5","Epb41l5"
"5245","ing5b","Ing5"
"5246","ptenb","Pten"
"5248","znf384a","Zfp384"
"5251","lpar1","Lpar1"
"5254","wdr75","Wdr75"
"5256","atp11c","Atp11c"
"5258","cldn10a","Cldn10"
"5260","abcc4","Abcc4"
"5265","rassf6","Rassf6"
"5267","rsu1","Rsu1"
"5269","mcf2a","Mcf2"
"5271","tmprss3b","Tmprss3"
"5272","cadpsa","Cadps"
"5274","pms1","Pms1"
"5276","ormdl1","Ormdl1"
"5278","adat3","Adat3"
"5279","osgepl1","Osgepl1"
"5281","tubgcp3","Tubgcp3"
"5283","kpna3","Kpna3"
"5285","ebpl","Ebpl"
"5287","tmem267","Tmem267"
"5288","glsb","Gls"
"5290","gas2b","Gas2"
"5292","slc17a6b","Slc17a6"
"5293","pkd2l1","Pkd2l1"
"5296","ccdc80","Ccdc80"
"5299","tbp","Tbp"
"5302","rab1ab","Rab1a"
"5304","cep68","Cep68"
"5306","slc1a4","Slc1a4"
"5309","sertad2b","Sertad2"
"5311","lgalslb","Lgalsl"
"5313","scrib","Scrib"
"5315","ptf1a","Ptf1a"
"5317","gpr161a","Gpr161"
"5323","si:ch211-14a17.11","1700123O20Rik"
"5325","acin1a","Acin1"
"5327","prmt5","Prmt5"
"5330","slc7a8b","Slc7a8"
"5332","ap1g2","Ap1g2"
"5333","nedd8","Nedd8"
"5335","homeza","Homez"
"5337","atad1a","Atad1"
"5338","plcb3","Plcb3"
"5340","ppp1r14bb","Ppp1r14b"
"5342","brms1","Brms1"
"5343","ctnnd2a","Ctnnd2"
"5346","pcgf1","Pcgf1"
"5349","ppp1cb","Ppp1cb"
"5350","otud5a","Otud5"
"5352","atp6v1c1a","Atp6v1c1"
"5354","rrm2b","Rrm2b"
"5357","laptm4b","Laptm4b"
"5359","echs1","Echs1"
"5361","fuom","Fuom"
"5363","slc35a2","Slc35a2"
"5365","adam8a","Adam8"
"5367","znf536","Zfp536"
"5369","synpr","Synpr"
"5371","bcap31","Bcap31"
"5373","srsf3a","Srsf3"
"5376","efr3ba","Efr3b"
"5378","ube2h","Ube2h"
"5380","arr3b","Arr3"
"5382","p2ry4","P2ry4"
"5384","celsr1a","Celsr1"
"5386","rflna","Rflna"
"5388","ncor2","Ncor2"
"5392","cntfr","Cntfr"
"5393","tgfb1a","Tgfb1"
"5395","hic2","Hic2"
"5397","plk4","Plk4"
"5399","plaub","Plau"
"5401","anxa4","Anxa4"
"5403","anxa6","Anxa6"
"5405","zic3","Zic3"
"5407","slc34a2b","Slc34a2"
"5408","rtn4a","Rtn4"
"5411","gpm6bb","Gpm6b"
"5413","plp2","Plp2"
"5416","rtn4b","Rtn4"
"5418","rtn1b","Rtn1"
"5420","rtn3","Rtn3"
"5421","plp1b","Plp1"
"5424","gpm6aa","Gpm6a"
"5427","gpm6ab","Gpm6a"
"5430","gpm6ba","Gpm6b"
"5433","tfpia","Tfpi"
"5435","serpind1","Serpind1"
"5438","atp6v1b2","Atp6v1b2"
"5439","fgf18a","Fgf18"
"5443","f9a","F9"
"5445","fgf10a","Fgf10"
"5447","elk4","Elk4"
"5449","elk3","Elk3"
"5451","arhgef2","Arhgef2"
"5453","wnt2ba","Wnt2b"
"5456","slc26a2","Slc26a2"
"5459","cxcl12b","Cxcl12"
"5461","dixdc1a","Dixdc1"
"5464","msgn1","Msgn1"
"5465","brd8","Brd8"
"5466","mapk1","Mapk1"
"5468","slit1a","Slit1"
"5470","slit1b","Slit1"
"5472","arhgef1a","Arhgef1"
"5474","pmm2","Pmm2"
"5475","glo1","Glo1"
"5477","nfe2l2a","Nfe2l2"
"5480","tgfb2","Tgfb2"
"5483","tgfb3","Tgfb3"
"5487","dcp1a","Dcp1a"
"5488","egr2a","Egr2"
"5490","sgce","Sgce"
"5493","sgcg","Sgcg"
"5495","sgcz","Sgcz"
"5496","prickle1a","Prickle1"
"5498","prickle2b","Prickle2"
"5500","gh1","Gh"
"5502","rgs9bp","Rgs9bp"
"5504","paqr7b","Paqr7"
"5507","paqr8","Paqr8"
"5508","cxxc1b","Cxxc1"
"5510","cmtm6","Cmtm6"
"5512","helb","Helb"
"5514","strbp","Strbp"
"5516","penkb","Penk"
"5518","slirp","Slirp"
"5520","penka","Penk"
"5522","fgf19","Fgf15"
"5524","lto1","LTO1"
"5526","nat8l","Nat8l"
"5528","lamp2","Lamp2"
"5531","neurod4","Neurod4"
"5533","tnr","Tnr"
"5536","txnipa","Txnip"
"5540","lbr","Lbr"
"5542","cdca3","Cdca3"
"5545","wipf3","Wipf3"
"5548","pald1a","Pald1"
"5550","nptna","Nptn"
"5552","pdgfrb","Pdgfrb"
"5554","pvalb8","Ocm"
"5561","pvalb9","Ocm"
"5568","tbx1","Tbx1"
"5571","tph1b","Tph1"
"5573","npffl","Npff"
"5574","piwil1","Piwil1"
"5577","cort","Cort"
"5578","bdkrb1","Bdkrb1"
"5582","tp73","Trp73"
"5584","tmem35","Tmem35a"
"5586","zar1","Zar1"
"5588","tp63","Trp63"
"5590","kif1b","Kif1b"
"5591","stat5a","Stat5a"
"5593","stat5a","Stat5b"
"5595","tshz1","Tshz1"
"5598","aldocb","Aldoc"
"5599","esrrga","Esrrg"
"5605","tuba1b","Tuba1b"
"5607","mcl1b","Mcl1"
"5609","bcl2l10","Bcl2l10"
"5613","casp2","Casp2"
"5615","casp9","Casp9"
"5617","birc5a","Birc5"
"5622","aifm1","Aifm1"
"5623","acin1b","Acin1"
"5625","nucb2a","Nucb2"
"5627","higd1a","Higd1a"
"5629","tpm3","Tpm3"
"5631","prdx3","Prdx3"
"5633","hif1an","Hif1an"
"5637","birc5b","Birc5"
"5640","rab14","Rab14"
"5643","cetn4","Cetn4"
"5645","gorasp1a","Gorasp1"
"5647","uox","Uox"
"5649","msi2a","Msi2"
"5652","ggcx","Ggcx"
"5653","ssr1","Ssr1"
"5654","pak1","Pak1"
"5657","cflara","Cflar"
"5659","rab13","Rab13"
"5661","gys2","Gys2"
"5663","kdelr2a","Kdelr2"
"5664","ndrg1a","Ndrg1"
"5666","celf2","Celf2"
"5669","dffb","Dffb"
"5671","casp8ap2","Casp8ap2"
"5673","thoc1","Thoc1"
"5675","p4ha2","P4ha2"
"5677","nid2a","Nid2"
"5679","map3k5","Map3k5"
"5683","tpbga","Tpbg"
"5686","nusap1","Nusap1"
"5688","dynll2a","Dynll2"
"5690","hspa9","Hspa9"
"5695","e2f5","E2f5"
"5698","dnd1","Dnd1"
"5706","hes6","Hes6"
"5707","pip4k2ca","Pip4k2c"
"5709","evpla","Evpl"
"5711","mknk2b","Mknk2"
"5713","akip1","Akip1"
"5715","slc2a8","Slc2a8"
"5717","pcnt","Pcnt"
"5719","btbd2a","Btbd2"
"5721","sall2","Sall2"
"5723","ppp3cca","Ppp3cc"
"5724","ppp1r15b","Ppp1r15b"
"5725","bub1bb","Bub1b"
"5727","slc12a7b","Slc12a7"
"5728","btbd6b","Btbd6"
"5730","mmp14a","Mmp14"
"5733","mmp14b","Mmp14"
"5736","cyp1b1","Cyp1b1"
"5739","cbr1","Cbr1"
"5741","ripk2","Ripk2"
"5743","kctd12.1","Kctd12"
"5746","cadps2","Cadps2"
"5748","cdk8","Cdk8"
"5750","nr1i2","Nr1i2"
"5759","fyna","Fyn"
"5760","gabbr1a","Gabbr1"
"5761","ppp2r5eb","Ppp2r5e"
"5763","ppp2r5ea","Ppp2r5e"
"5765","vax2","Vax2"
"5766","vax1","Vax1"
"5768","sox2","Sox2"
"5771","pck1","Pck1"
"5772","gtpbp1","Gtpbp1"
"5774","tktb","Tkt"
"5775","hs6st2","Hs6st2"
"5776","add1","Add1"
"5777","gad1b","Gad1"
"5779","csrp1a","Csrp1"
"5781","aktip","Aktip"
"5783","rdh10b","Rdh10"
"5785","ptpn2b","Ptpn2"
"5787","gad2","Gad2"
"5790","drd2b","Drd2"
"5791","cdh17","Cdh17"
"5793","ical1","Ica1l"
"5795","gjd2b","Gjd2"
"5799","sbf2","Sbf2"
"5801","ptgdsb.2","Ptgds"
"5804","daam1a","Daam1"
"5806","disp1","Disp1"
"5808","grem2b","Grem2"
"5811","hcfc1a","Hcfc1"
"5812","atrx","Atrx"
"5814","bmp8a","Bmp8a"
"5816","hnrnpa1b","Hnrnpa1"
"5818","rpa1","Rpa1"
"5820","fbxl3a","Fbxl3"
"5822","stk36","Stk36"
"5824","trpv4","Trpv4"
"5828","trpv1","Trpv1"
"5830","disp2","Disp2"
"5832","cntnap1","Cntnap1"
"5834","erbb3a","Erbb3"
"5836","ankrd6b","Ankrd6"
"5839","egfra","Egfr"
"5840","pdgfaa","Pdgfa"
"5841","slc7a4","Slc7a4"
"5842","fbxl2","Fbxl2"
"5844","arrdc1a","Arrdc1"
"5846","stox1","Stox1"
"5849","slc31a2","Slc31a2"
"5850","atp2b1a","Atp2b1"
"5851","zswim5","Zswim5"
"5853","shisa2a","Shisa2"
"5855","ighm","Ighm"
"5856","pard3ab","Pard3"
"5858","vps13a","Vps13a"
"5860","hspa12a","Hspa12a"
"5862","efhc2","Efhc2"
"5864","hspa5","Hspa5"
"5870","tsc22d2","Tsc22d2"
"5871","tjp1a","Tjp1"
"5873","hsp90aa1.2","Hsp90aa1"
"5876","g6pc1a.1","G6pc"
"5879","mtr","Mtr"
"5881","sh3gl1b","Sh3gl1"
"5884","ddx27","Ddx27"
"5886","hsp90b1","Hsp90b1"
"5889","rhov","Rhov"
"5891","prelid3b","Prelid3b"
"5893","syt9a","Syt9"
"5895","pld1a","Pld1"
"5898","capza1b","Capza1"
"5900","pfn1","Pfn1"
"5902","ddit4","Ddit4"
"5905","tln1","Tln1"
"5907","fam49a","Cyria"
"5909","prom1b","Prom1"
"5911","idh1","Idh1"
"5914","rab32a","Rab32"
"5918","slc25a12","Slc25a12"
"5920","abca1a","Abca1"
"5923","rgs12b","Rgs12"
"5925","sptbn1","Sptbn1"
"5927","abat","Abat"
"5929","eno3","Eno3"
"5931","ncf1","Ncf1"
"5934","slc9a3r1a","Slc9a3r1"
"5936","mgll","Mgll"
"5937","rpl13","Rpl13"
"5940","sirt6","Sirt6"
"5944","akt2","Akt2"
"5947","dmxl2","Dmxl2"
"5949","emx1","Emx1"
"5953","btg4","Btg4"
"5955","lhx8a","Lhx8"
"5957","fem1c","Fem1c"
"5959","fscn1a","Fscn1"
"5961","fga","Fga"
"5964","ttc21b","Ttc21b"
"5966","satb1a","Satb1"
"5968","ovol1a","Ovol1"
"5970","glcci1a","Glcci1"
"5971","arhgap29b","Arhgap29"
"5973","smad9","Smad9"
"5976","ing5a","Ing5"
"5978","hopx","Hopx"
"5980","tp53inp1","Trp53inp1"
"5982","timm8b","Timm8b"
"5984","pdca","Pdc"
"5986","pdcb","Pdc"
"5988","tardbpl","Gm13886"
"5989","cep97","Cep97"
"5991","ngdn","Ngdn"
"5993","pik3ip1","Pik3ip1"
"5995","eif4a1a","Eif4a1"
"5997","ddx49","Ddx49"
"5999","tob1a","Tob1"
"6002","taf12","Taf12"
"6004","timm17a","Timm17a"
"6006","zcchc9","Zcchc9"
"6008","pfkfb4b","Pfkfb4"
"6010","cacna1fb","Cacna1f"
"6012","sypa","Syp"
"6014","dpysl2b","Dpysl2"
"6017","scd","Scd1"
"6020","zhx3","Zhx3"
"6022","zhx2a","Zhx2"
"6024","ndnl2","Nsmce3"
"6025","sprn","Sprn"
"6028","mtg1","Mtg1"
"6029","tubb5","Tubb5"
"6030","myh6","Myh6"
"6031","tead3a","Tead3"
"6033","fen1","Fen1"
"6034","uba5","Uba5"
"6036","apc","Apc"
"6037","ap3b1a","Ap3b1"
"6040","aclya","Acly"
"6042","ddx21","Ddx21"
"6043","btg3","Btg3"
"6044","dnajc5aa","Dnajc5"
"6046","arl6ip5a","Arl6ip5"
"6048","lrig1","Lrig1"
"6050","mpp1","Mpp1"
"6052","znf503","Zfp503"
"6053","parp2","Parp2"
"6055","dnajb11","Dnajb11"
"6057","sox8b","Sox8"
"6059","fli1rs","Fli1"
"6061","ptk2aa","Ptk2"
"6063","bicra","Bicra"
"6065","incenp","Incenp"
"6067","itga5","Itga5"
"6069","ackr3b","Ackr3"
"6070","padi2","Padi2"
"6072","scn4bb","Scn4b"
"6075","rbpja","Rbpj"
"6077","pcp4a","Pcp4"
"6079","pknox2","Pknox2"
"6081","pcp4b","Pcp4"
"6083","erbb2","Erbb2"
"6085","calcoco1b","Calcoco1"
"6087","lyve1a","Lyve1"
"6090","fstb","Fst"
"6094","ndufaf8","Ndufaf8"
"6097","hectd3","Hectd3"
"6099","serbp1b","Serbp1"
"6100","asf1ba","Asf1b"
"6102","cstf2","Cstf2"
"6104","fut8a","Fut8"
"6107","mettl26","Mettl26"
"6108","slc25a37","Slc25a37"
"6109","smim29","AI413582"
"6111","gpbp1l1","Gpbp1l1"
"6113","rab5c","Rab5c"
"6116","dip2ca","Dip2c"
"6118","poc1b","Poc1b"
"6121","kcnj1a.1","Kcnj1"
"6123","phka1a","Phka1"
"6125","gtpbp6","Gtpbp6"
"6127","dscamb","Dscam"
"6130","traf3ip2b","Traf3ip2"
"6131","zfp64","Zfp64"
"6133","eif4ebp2","Eif4ebp2"
"6135","ssrp1a","Ssrp1"
"6137","idh2","Idh2"
"6139","supt16h","Supt16"
"6140","figla","Figla"
"6142","dock2","Dock2"
"6144","hipk2","Hipk2"
"6146","scarb1","Scarb1"
"6148","foxi3a","Foxi3"
"6150","foxi3b","Foxi3"
"6152","baiap2l1a","Baiap2l1"
"6154","smox","Smox"
"6156","pkma","Pkm"
"6158","snx8a","Snx8"
"6160","mmp13a","Mmp13"
"6161","sp4","Sp4"
"6163","jam2a","Jam2"
"6167","npdc1a","Npdc1"
"6170","apof","Apof"
"6172","cwf19l1","Cwf19l1"
"6173","cux2a","Cux2"
"6176","enpp6","Enpp6"
"6178","slc24a5","Slc24a5"
"6181","gpc3","Gpc3"
"6183","elf2b","Elf2"
"6185","ldlra","Ldlr"
"6188","gja3","Gja3"
"6193","pbx3a","Pbx3"
"6195","fhl1b","Fhl1"
"6199","cpvl","Cpvl"
"6201","fa2h","Fa2h"
"6203","ca2","Car2"
"6207","ahcy","Ahcy"
